repo,tag,last_update
nvidia/cuda,10.2-cudnn7-runtime-centos6,2019-12-05 23:37:27
nvidia/cuda,10.2-cudnn7-runtime-centos7,2022-04-03 17:57:29
nvidia/cuda,10.2-cudnn7-runtime-centos8,2022-01-06 22:21:43
nvidia/cuda,10.2-cudnn7-runtime-ubi7,2022-04-03 18:57:57
nvidia/cuda,10.2-cudnn7-runtime-ubi8,2022-04-30 01:10:21
nvidia/cuda,10.2-cudnn7-runtime-ubuntu16.04,2022-04-03 17:56:00
nvidia/cuda,10.2-cudnn7-runtime-ubuntu18.04,2022-04-03 17:56:43
nvidia/cuda,10.2-cudnn8-devel,2021-07-08 21:03:01
nvidia/cuda,10.2-cudnn8-devel-centos7,2022-12-17 08:26:40
nvidia/cuda,10.2-cudnn8-devel-centos8,2022-01-06 22:20:12
nvidia/cuda,10.2-cudnn8-devel-rockylinux8,2022-12-17 08:27:08
nvidia/cuda,10.2-cudnn8-devel-ubi7,2022-12-17 08:29:09
nvidia/cuda,10.2-cudnn8-devel-ubi8,2022-12-17 08:29:45
nvidia/cuda,10.2-cudnn8-devel-ubuntu16.04,2022-05-22 22:12:18
nvidia/cuda,10.2-cudnn8-devel-ubuntu18.04,2022-12-17 08:23:14
nvidia/cuda,10.2-cudnn8-runtime,2021-07-08 21:02:55
nvidia/cuda,10.2-cudnn8-runtime-centos7,2022-12-17 08:27:05
nvidia/cuda,10.2-cudnn8-runtime-centos8,2022-01-06 22:20:22
nvidia/cuda,10.2-cudnn8-runtime-rockylinux8,2022-12-17 08:27:37
nvidia/cuda,10.2-cudnn8-runtime-ubi7,2022-12-17 08:29:41
nvidia/cuda,10.2-cudnn8-runtime-ubi8,2022-12-17 08:30:30
nvidia/cuda,10.2-cudnn8-runtime-ubuntu16.04,2022-05-22 22:12:26
nvidia/cuda,10.2-cudnn8-runtime-ubuntu18.04,2022-12-17 08:23:37
nvidia/cuda,10.2-devel,2021-07-08 21:03:26
nvidia/cuda,10.2-devel-centos6,2019-12-05 23:37:31
nvidia/cuda,10.2-devel-centos7,2022-12-17 08:28:10
nvidia/cuda,10.2-devel-centos8,2022-01-06 22:22:27
nvidia/cuda,10.2-devel-rockylinux8,2022-12-17 08:29:45
nvidia/cuda,10.2-devel-ubi7,2022-12-17 08:30:55
nvidia/cuda,10.2-devel-ubi8,2022-12-17 08:31:57
nvidia/cuda,10.2-devel-ubuntu16.04,2022-05-22 22:12:47
nvidia/cuda,10.2-devel-ubuntu18.04,2022-12-17 08:24:25
nvidia/cuda,10.2-runtime,2021-07-08 21:03:17
nvidia/cuda,10.2-runtime-centos6,2019-12-05 23:37:54
nvidia/cuda,10.2-runtime-centos7,2022-12-17 08:27:51
nvidia/cuda,10.2-runtime-centos8,2022-01-06 22:22:16
nvidia/cuda,10.2-runtime-rockylinux8,2022-12-17 08:29:14
nvidia/cuda,10.2-runtime-ubi7,2022-12-17 08:30:39
nvidia/cuda,10.2-runtime-ubi8,2022-12-17 08:31:40
nvidia/cuda,10.2-runtime-ubuntu16.04,2022-05-22 22:12:40
nvidia/cuda,10.2-runtime-ubuntu18.04,2022-12-17 08:24:00
nvidia/cuda,11.0.3-base,2021-07-08 20:18:09
nvidia/cuda,11.0.3-base-centos7,2022-07-20 17:29:52
nvidia/cuda,11.0.3-base-centos8,2022-01-07 00:40:47
nvidia/cuda,11.0.3-base-rockylinux8,2022-05-28 06:31:05
nvidia/cuda,11.0.3-base-ubi7,2022-07-20 00:41:27
nvidia/cuda,11.0.3-base-ubi8,2022-05-28 06:36:48
